id,year,month,day,tmax,tmin
MX17004,2010,1,30,27.8,14.5
MX17004,2010,2,2,27.3,14.4
MX17004,2010,2,3,24.1,14.4
MX17004,2010,2,11,29.7,13.4
MX17004,2010,2,23,29.9,10.7
MX17004,2010,3,5,32.1,14.2
MX17004,2010,3,10,34.5,16.8
MX17004,2010,3,16,31.1,17.6
MX17004,2010,4,27,36.3,16.7
MX17004,2010,5,27,33.2,18.2
MX17004,2010,6,17,28.0,17.5
MX17004,2010,6,29,30.1,18.0
MX17004,2010,7,3,28.6,17.5
MX17004,2010,7,14,29.9,16.5
MX17004,2010,8,23,26.4,15.0
MX17004,2010,8,5,29.6,15.8
MX17004,2010,8,29,28.0,15.3
MX17004,2010,8,8,29.0,17.3
MX17004,2010,8,13,29.8,16.5
MX17004,2010,8,25,29.7,15.6
MX17004,2010,8,31,25.4,15.4
MX17004,2010,10,5,27.0,14.0
MX17004,2010,10,14,29.5,13.0
MX17004,2010,10,7,28.1,12.9
MX17004,2010,10,15,28.7,10.5
MX17004,2010,10,28,31.2,15.0
MX17004,2010,11,2,31.3,16.3
MX17004,2010,11,5,26.3,7.9
MX17004,2010,11,27,27.7,14.2
MX17004,2010,11,4,27.2,12.0
MX17004,2010,11,26,28.1,12.1
MX17004,2010,12,1,29.9,13.8
MX17004,2010,12,6,27.8,10.5
